NM_MUN,network_count,infra_count,adhoc_count,wep_count,wpa_count,wpa2_count,open_count,freq_24ghz_count,freq_5ghz_count,freq_6ghz_count
Rio de Janeiro,1282323,1281271,0,4647,2366,1208967,0,605650,496180,165
Niterói,65870,65834,0,211,149,63315,0,34896,30174,0
Petrópolis,60885,60730,0,183,306,58782,0,38211,22668,0
Cabo Frio,52382,52335,0,180,290,50879,0,30899,21007,0
Nova Iguaçu,43343,43314,0,127,98,41279,0,26269,12922,1
Duque de Caxias,43101,43029,0,114,165,41303,0,32811,7520,4
São João de Meriti,39111,38988,0,112,62,37908,0,28774,8353,0
Rio das Ostras,35191,35152,0,159,269,33653,0,21498,13265,0
Nova Friburgo,28296,28272,0,72,97,27634,0,16661,2747,0
Três Rios,23698,23596,0,84,186,22712,0,14623,9071,0
São Gonçalo,21948,21913,0,82,100,21097,0,14996,5126,1
Angra dos Reis,20872,20859,0,145,61,20083,0,12984,7417,0
Volta Redonda,19545,19525,0,47,76,18348,0,9821,9586,0
Macaé,17813,17799,0,72,130,16495,0,9792,7959,0
São Pedro da Aldeia,16093,16079,0,75,166,15564,0,10747,5308,0
Campos dos Goytacazes,15591,15569,0,55,95,14958,0,9723,5868,0
Nilópolis,13647,13636,0,35,75,13182,0,5871,3381,0
Resende,12090,12084,0,49,44,11547,0,7186,3589,0
Barra Mansa,10755,10743,0,53,36,10393,0,5039,4858,0
Barra do Piraí,10358,10344,0,30,13,10190,0,6419,3939,0
Belford Roxo,9373,9366,0,27,41,9035,0,6003,2501,0
Mesquita,9327,9326,0,37,56,8992,0,2752,1617,0
Itaguaí,8136,8126,0,21,220,7633,0,4885,2604,0
Itaboraí,8124,8121,0,55,31,7820,0,5429,2684,0
Armação dos Búzios,7715,7706,0,35,18,7449,0,4686,3026,0
Casimiro de Abreu,5461,5459,0,37,41,5269,0,3576,1698,0
Maricá,4919,4916,0,23,25,4748,0,4432,486,0
Seropédica,4846,4844,0,41,10,4605,0,3135,1512,0
Araruama,4426,4423,0,13,23,4322,0,2850,1551,0
Magé,4252,4251,0,12,55,4081,0,3013,309,0
Quissamã,3873,3870,0,20,33,3761,0,2388,1483,0
Paraty,3597,3596,0,17,15,3510,0,2245,1350,0
Piraí,3455,3451,0,14,14,3267,0,1840,1170,0
Teresópolis,3429,3429,0,3,18,3325,0,3024,405,0
Itaperuna,3099,3090,0,11,24,3002,0,2017,1082,0
Cachoeiras de Macacu,2994,2994,0,21,16,2849,0,2551,443,0
Rio Bonito,2869,2864,0,55,9,2710,0,1911,958,0
Itatiaia,2585,2583,0,14,18,2468,0,1165,572,0
Arraial do Cabo,2532,2532,0,12,13,2470,0,1603,914,0
São José de Ubá,2063,2063,0,12,23,1969,0,1554,509,0
Paraíba do Sul,1954,1952,0,14,35,1866,0,1278,676,0
Vassouras,1942,1941,0,4,13,1877,0,1434,508,0
Iguaba Grande,1825,1823,0,9,9,1766,0,1279,542,0
Guapimirim,1399,1399,0,8,3,1355,0,955,388,0
Mendes,1252,1252,0,3,4,1232,0,727,525,0
Areal,1165,1163,0,9,2,1131,0,814,351,0
Tanguá,1091,1091,0,17,5,1046,0,753,338,0
Queimados,998,998,0,4,4,963,0,493,207,0
Bom Jesus do Itabapoana,945,945,0,5,5,926,0,592,353,0
Valença,793,793,0,5,1,748,0,760,33,0
Porto Real,740,737,0,0,1,699,0,356,280,0
Mangaratiba,705,705,0,2,0,690,0,308,310,0
Conceição de Macabu,701,701,0,1,9,671,0,460,241,0
Quatis,685,685,0,5,3,674,0,368,317,0
Paracambi,607,607,0,5,3,569,0,360,167,0
Rio Claro,562,562,0,4,2,545,0,366,196,0
Itaocara,430,430,0,0,6,417,0,297,133,0
Silva Jardim,366,366,0,6,0,348,0,303,62,0
Engenheiro Paulo de Frontin,359,359,0,2,2,344,0,275,84,0
Santo Antônio de Pádua,208,207,0,0,0,206,0,86,93,0
Pinheiral,137,137,0,0,5,125,0,75,19,0
Comendador Levy Gasparian,124,124,0,0,1,121,0,99,25,0
Bom Jardim,49,49,0,3,1,45,0,37,12,0
São João da Barra,39,39,0,5,0,34,0,20,19,0
Miguel Pereira,37,37,0,1,0,36,0,31,6,0
Cordeiro,36,35,0,0,0,35,0,13,23,0
Saquarema,31,31,0,0,1,27,0,26,5,0
Aperibé,26,26,0,0,0,26,0,26,0,0
Japeri,25,25,0,0,0,25,0,20,5,0
Rio das Flores,19,19,0,0,0,17,0,17,2,0
Carapebus,7,7,0,1,0,3,0,6,1,0
Paty do Alferes,5,5,0,0,0,5,0,4,1,0
São Fidélis,3,3,0,0,0,3,0,2,0,0
Sumidouro,2,2,0,0,0,2,0,1,1,0
